input,language,decidability,target_expert,allowed_experts,difficulty,group_id,source_type,source_id,record_type,ko_node_ids,ood_flag,boundary_flag,quality_status,notes
ما معايير صحة المناهج والبراهين المستخدمة في «الجبر»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الجبر» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=A; owner_approved_2026-09-05
كيف تطورت «الجبر» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=T; owner_approved_2026-09-05
ما أثر «الجبر» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math.algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra; lens=H; owner_approved_2026-09-05
"ما موضوع «التحليل الرياضي» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of limits, continuity, approximation, infinite processes, and functions of real or complex variables.)",mixed,decisive,O_subject_ontology,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=O; owner_approved_2026-09-05
عند دراسة «التحليل الرياضي»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=E; owner_approved_2026-09-05
كيف يرتبط «التحليل الرياضي» بموضوعه الأب «الرياضيات»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «التحليل الرياضي»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «التحليل الرياضي» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=A; owner_approved_2026-09-05
كيف تطورت «التحليل الرياضي» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=T; owner_approved_2026-09-05
ما أثر «التحليل الرياضي» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math.analysis,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis; lens=H; owner_approved_2026-09-05
"ما موضوع «الاحتمالات والإحصاء» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The mathematical study of uncertainty, random phenomena, data variation, inference, and decision under uncertainty.)",mixed,decisive,O_subject_ontology,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=O; owner_approved_2026-09-05
عند دراسة «الاحتمالات والإحصاء»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=E; owner_approved_2026-09-05
كيف يرتبط «الاحتمالات والإحصاء» بموضوعه الأب «الرياضيات»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «الاحتمالات والإحصاء»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الاحتمالات والإحصاء» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=A; owner_approved_2026-09-05
كيف تطورت «الاحتمالات والإحصاء» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=T; owner_approved_2026-09-05
ما أثر «الاحتمالات والإحصاء» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math.probability-statistics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics; lens=H; owner_approved_2026-09-05
"ما موضوع «الرياضيات المتقطعة» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of finite, countable, combinatorial, graph-based, and symbolic structures, including foundational discrete reasoning.)",mixed,decisive,O_subject_ontology,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=O; owner_approved_2026-09-05
عند دراسة «الرياضيات المتقطعة»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=E; owner_approved_2026-09-05
كيف يرتبط «الرياضيات المتقطعة» بموضوعه الأب «الرياضيات»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «الرياضيات المتقطعة»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الرياضيات المتقطعة» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=A; owner_approved_2026-09-05
كيف تطورت «الرياضيات المتقطعة» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=T; owner_approved_2026-09-05
ما أثر «الرياضيات المتقطعة» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math.discrete-mathematics,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.discrete-mathematics,false,false,approved,curriculum_generated from ko.math.v0.1.math.discrete-mathematics; lens=H; owner_approved_2026-09-05
"ما موضوع «الهندسة» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of spatial form, geometric relationships, invariants, and spaces described synthetically, analytically, or differentially.)",mixed,decisive,O_subject_ontology,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=O; owner_approved_2026-09-05
عند دراسة «الهندسة»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=E; owner_approved_2026-09-05
كيف يرتبط «الهندسة» بموضوعه الأب «الرياضيات»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «الهندسة»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الهندسة» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=A; owner_approved_2026-09-05
كيف تطورت «الهندسة» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=T; owner_approved_2026-09-05
ما أثر «الهندسة» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,easy,math.geometry,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.geometry,false,false,approved,curriculum_generated from ko.math.v0.1.math.geometry; lens=H; owner_approved_2026-09-05
"ما موضوع «الجبر الخطي» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of vector spaces, linear maps, matrices, systems of linear equations, and their algebraic invariants.)",mixed,decisive,O_subject_ontology,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=O; owner_approved_2026-09-05
عند دراسة «الجبر الخطي»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=E; owner_approved_2026-09-05
كيف يرتبط «الجبر الخطي» بموضوعه الأب «الجبر»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «الجبر الخطي»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «الجبر الخطي» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=A; owner_approved_2026-09-05
كيف تطورت «الجبر الخطي» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=T; owner_approved_2026-09-05
ما أثر «الجبر الخطي» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,medium,math.algebra.linear-algebra,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.linear-algebra,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.linear-algebra; lens=H; owner_approved_2026-09-05
"ما موضوع «نظرية الأعداد» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of integers, prime numbers, congruences, Diophantine problems, and arithmetic structures.)",mixed,decisive,O_subject_ontology,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=O; owner_approved_2026-09-05
عند دراسة «نظرية الأعداد»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=E; owner_approved_2026-09-05
كيف يرتبط «نظرية الأعداد» بموضوعه الأب «الجبر»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «نظرية الأعداد»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «نظرية الأعداد» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=A; owner_approved_2026-09-05
كيف تطورت «نظرية الأعداد» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=T; owner_approved_2026-09-05
ما أثر «نظرية الأعداد» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,medium,math.algebra.number-theory,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.algebra.number-theory,false,false,approved,curriculum_generated from ko.math.v0.1.math.algebra.number-theory; lens=H; owner_approved_2026-09-05
"ما موضوع «حساب التفاضل والتكامل» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The study of change, accumulation, limits, derivatives, integrals, and their extensions to several variables and vector fields.)",mixed,decisive,O_subject_ontology,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=O; owner_approved_2026-09-05
عند دراسة «حساب التفاضل والتكامل»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=E; owner_approved_2026-09-05
كيف يرتبط «حساب التفاضل والتكامل» بموضوعه الأب «التحليل الرياضي»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «حساب التفاضل والتكامل»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «حساب التفاضل والتكامل» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=A; owner_approved_2026-09-05
كيف تطورت «حساب التفاضل والتكامل» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=T; owner_approved_2026-09-05
ما أثر «حساب التفاضل والتكامل» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,medium,math.analysis.calculus,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.analysis.calculus,false,false,approved,curriculum_generated from ko.math.v0.1.math.analysis.calculus; lens=H; owner_approved_2026-09-05
"ما موضوع «نظرية الاحتمالات» وما الكيانات والمفاهيم الأساسية التي يتناولها؟ (The mathematical theory of random experiments, events, random variables, distributions, dependence, and stochastic evolution.)",mixed,decisive,O_subject_ontology,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=O; owner_approved_2026-09-05
عند دراسة «نظرية الاحتمالات»: ما المراجع والأدلة الأساسية التي يستند إليها هذا الموضوع، وكيف نقيّم قوة كل دليل؟,ar,decisive,E_source_evidence,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=E; owner_approved_2026-09-05
كيف يرتبط «نظرية الاحتمالات» بموضوعه الأب «الاحتمالات والإحصاء»؟ وما المفاهيم المجاورة التي تندرج معه تحت التخصص نفسه وما الحدود الفاصلة بينها؟,ar,decisive,R_structure_relations,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=R; owner_approved_2026-09-05
ما معايير صحة المناهج والبراهين المستخدمة في «نظرية الاحتمالات»؟ وكيف نتحقق من صحة نتيجة قبل قبولها في هذا المجال؟,ar,decisive,M_method_validation,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=M; owner_approved_2026-09-05
كيف نطبق مفاهيم «نظرية الاحتمالات» في مسألة عملية؟ اشرح خطوات الحل بمثال متدرج.,ar,decisive,A_function_application,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=A; owner_approved_2026-09-05
كيف تطورت «نظرية الاحتمالات» تاريخيًا؟ وما المشكلات التي أحدثت ولادتها وأبرز المحطات في تطورها؟,ar,decisive,T_time_evolution,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=T; owner_approved_2026-09-05
ما أثر «نظرية الاحتمالات» على الإنسان وأصحاب المصلحة؟ وأين تظهر تطبيقاته العملية في الحياة والصناعة؟,ar,decisive,H_human_value_context,,medium,math.probability-statistics.probability,curriculum_generated,src-ko-curriculum-v0.1,question_answer,ko.math.v0.1.math.probability-statistics.probability,false,false,approved,curriculum_generated from ko.math.v0.1.math.probability-statistics.probability; lens=H; owner_approved_2026-09-05
